issue_id;status;changed_at;assignee_id;issue_type;priority;summary;actual_time_spent
1;Backlog;45871,47431;2;Задача;Средний;Build offline sync page;40.0
1;Selected for Development;45875,55764;2;Задача;Средний;Build offline sync page;40.0
1;In Progress;45879,68264;2;Задача;Средний;Build offline sync page;40.0
1;Code Review;45885,84931;2;Задача;Средний;Build offline sync page;40.0
1;QA;45888,01597;2;Задача;Средний;Build offline sync page;40.0
1;Done;45888,55764;2;Задача;Средний;Build offline sync page;40.0
1;Done;45888,55764;2;Задача;Средний;Build offline sync page;40.0
2;Backlog;45582,67292;2;Задача;Средний;Build payments page;9.38
2;Selected for Development;45587,83958;2;Задача;Средний;Build payments page;9.38
2;In Progress;45592,00625;2;Задача;Средний;Build payments page;9.38
2;Code Review;45594,17292;2;Задача;Средний;Build payments page;9.38
2;QA;45595,25625;2;Задача;Средний;Build payments page;9.38
2;Done;45600,58958;2;Задача;Средний;Build payments page;9.38
2;Done;45600,71458;2;Задача;Средний;Build payments page;9.38
3;Backlog;45516,56667;2;Ошибка;Средний;Resolve UI regression in payments;8.67
3;Selected for Development;45516,69167;2;Ошибка;Средний;Resolve UI regression in payments;8.67
3;In Progress;45518,775;2;Ошибка;Средний;Resolve UI regression in payments;8.67
3;Code Review;45519,85833;2;Ошибка;Средний;Resolve UI regression in payments;8.67
3;QA;45521,06667;2;Ошибка;Средний;Resolve UI regression in payments;8.67
3;Done;45521,60833;2;Ошибка;Средний;Resolve UI regression in payments;8.67
3;Done;45521,73333;2;Ошибка;Средний;Resolve UI regression in payments;8.67
4;Backlog;45685,49028;1;Задача;Высокий;Create settings admin tool;9.0
4;Selected for Development;45686,69861;1;Задача;Высокий;Create settings admin tool;9.0
4;In Progress;45687,78194;1;Задача;Высокий;Create settings admin tool;9.0
4;Code Review;45688,90694;1;Задача;Высокий;Create settings admin tool;9.0
4;QA;45692,11528;1;Задача;Высокий;Create settings admin tool;9.0
4;Done;45694,65694;1;Задача;Высокий;Create settings admin tool;9.0
4;Done;45694,65694;1;Задача;Высокий;Create settings admin tool;9.0
5;Backlog;46002,57222;2;Задача;Средний;Implement reports workflow;57.33
5;Selected for Development;46007,69722;2;Задача;Средний;Implement reports workflow;57.33
5;In Progress;46015,78056;2;Задача;Средний;Implement reports workflow;57.33
5;Code Review;46024,94722;2;Задача;Средний;Implement reports workflow;57.33
5;QA;46028,98889;2;Задача;Средний;Implement reports workflow;57.33
5;Done;46031,53056;2;Задача;Средний;Implement reports workflow;57.33
5;Done;46031,61389;2;Задача;Средний;Implement reports workflow;57.33
6;Backlog;45624,73611;4;Задача;Средний;Create settings admin tool;16.0
6;Selected for Development;45632,86111;4;Задача;Средний;Create settings admin tool;16.0
6;In Progress;45636,02778;4;Задача;Средний;Create settings admin tool;16.0
6;Code Review;45638,02778;4;Задача;Средний;Create settings admin tool;16.0
6;QA;45640,15278;4;Задача;Средний;Create settings admin tool;16.0
6;Done;45641,77778;4;Задача;Средний;Create settings admin tool;16.0
6;Done;45641,77778;4;Задача;Средний;Create settings admin tool;16.0
6;Reopened;45646,77778;4;Задача;Средний;Create settings admin tool;16.0
6;Done;45650,77778;4;Задача;Средний;Create settings admin tool;16.0
8;Backlog;45767,7375;5;Задача;Средний;Implement billing workflow;24.67
8;Selected for Development;45768,94583;5;Задача;Средний;Implement billing workflow;24.67
8;In Progress;45770,07083;5;Задача;Средний;Implement billing workflow;24.67
8;Code Review;45775,15417;5;Задача;Средний;Implement billing workflow;24.67
8;QA;45780,15417;5;Задача;Средний;Implement billing workflow;24.67
8;Done;45780,69583;5;Задача;Средний;Implement billing workflow;24.67
8;Done;45780,77917;5;Задача;Средний;Implement billing workflow;24.67
9;Backlog;45300,64792;3;Задача;Низкий;Add search module;6.85
9;Selected for Development;45303,81458;3;Задача;Низкий;Add search module;6.85
9;In Progress;45304,85625;3;Задача;Низкий;Add search module;6.85
9;Code Review;45306,85625;3;Задача;Низкий;Add search module;6.85
9;QA;45307,93958;3;Задача;Низкий;Add search module;6.85
9;Done;45315,64792;3;Задача;Низкий;Add search module;6.85
9;Done;45315,77292;3;Задача;Низкий;Add search module;6.85
11;Backlog;45982,34306;3;Ошибка;Низкий;Correct layout in checkout;33.33
11;Selected for Development;45985,38472;3;Ошибка;Низкий;Correct layout in checkout;33.33
11;In Progress;45986,59306;3;Ошибка;Низкий;Correct layout in checkout;33.33
11;Code Review;45992,75972;3;Ошибка;Низкий;Correct layout in checkout;33.33
11;QA;45993,88472;3;Ошибка;Низкий;Correct layout in checkout;33.33
11;Done;45999,46806;3;Ошибка;Низкий;Correct layout in checkout;33.33
11;Done;45999,46806;3;Ошибка;Низкий;Correct layout in checkout;33.33
12;Backlog;45812,52083;1;Задача;Средний;Create notifications admin tool;26.83
12;Selected for Development;45817,5625;1;Задача;Средний;Create notifications admin tool;26.83
12;In Progress;45818,64583;1;Задача;Средний;Create notifications admin tool;26.83
12;Code Review;45822,85417;1;Задача;Средний;Create notifications admin tool;26.83
12;QA;45825,0625;1;Задача;Средний;Create notifications admin tool;26.83
12;Done;45829,64583;1;Задача;Средний;Create notifications admin tool;26.83
12;Done;45829,72917;1;Задача;Средний;Create notifications admin tool;26.83
13;Backlog;45360,59236;3;Задача;Средний;Implement settings workflow;39.41
13;Selected for Development;45360,75903;3;Задача;Средний;Implement settings workflow;39.41
13;In Progress;45361,75903;3;Задача;Средний;Implement settings workflow;39.41
13;Code Review;45366,92569;3;Задача;Средний;Implement settings workflow;39.41
13;QA;45367,96736;3;Задача;Средний;Implement settings workflow;39.41
13;Done;45368,59236;3;Задача;Средний;Implement settings workflow;39.41
13;Done;45368,67569;3;Задача;Средний;Implement settings workflow;39.41
14;Backlog;45975,66181;4;Задача;Средний;Refine audit log UX;8.0
14;Selected for Development;45978,70347;4;Задача;Средний;Refine audit log UX;8.0
14;In Progress;45979,78681;4;Задача;Средний;Refine audit log UX;8.0
14;Code Review;45980,78681;4;Задача;Средний;Refine audit log UX;8.0
14;QA;45982,78681;4;Задача;Средний;Refine audit log UX;8.0
14;Done;45983,87014;4;Задача;Средний;Refine audit log UX;8.0
14;Done;45983,87014;4;Задача;Средний;Refine audit log UX;8.0
15;Backlog;46022,38264;4;Задача;Средний;Create notifications admin tool;8.33
15;Selected for Development;46022,54931;4;Задача;Средний;Create notifications admin tool;8.33
15;In Progress;46023,67431;4;Задача;Средний;Create notifications admin tool;8.33
15;Code Review;46024,71597;4;Задача;Средний;Create notifications admin tool;8.33
15;QA;46025,88264;4;Задача;Средний;Create notifications admin tool;8.33
15;Done;46026,25764;4;Задача;Средний;Create notifications admin tool;8.33
15;Done;46026,38264;4;Задача;Средний;Create notifications admin tool;8.33
16;Backlog;45584,675;3;Задача;Средний;Build checkout page;71.4
16;Selected for Development;45588,71667;3;Задача;Средний;Build checkout page;71.4
16;In Progress;45592,925;3;Задача;Средний;Build checkout page;71.4
16;Code Review;45603,925;3;Задача;Средний;Build checkout page;71.4
16;QA;45608,05;3;Задача;Средний;Build checkout page;71.4
16;Done;45608,75833;3;Задача;Средний;Build checkout page;71.4
16;Done;45608,8;3;Задача;Средний;Build checkout page;71.4
17;Backlog;45487,52778;1;Задача;Средний;Refine offline sync UX;3.44
17;Selected for Development;45488,56944;1;Задача;Средний;Refine offline sync UX;3.44
17;In Progress;45506,56944;1;Задача;Средний;Refine offline sync UX;3.44
17;Code Review;45507,65278;1;Задача;Средний;Refine offline sync UX;3.44
17;QA;45511,73611;1;Задача;Средний;Refine offline sync UX;3.44
17;Done;45512,44444;1;Задача;Средний;Refine offline sync UX;3.44
17;Done;45512,52778;1;Задача;Средний;Refine offline sync UX;3.44
17;Reopened;45517,52778;1;Задача;Средний;Refine offline sync UX;3.44
17;Done;45519,52778;1;Задача;Средний;Refine offline sync UX;3.44
18;Backlog;45967,6625;5;Задача;Средний;Implement profile workflow;24.7
18;Selected for Development;45971,82917;5;Задача;Средний;Implement profile workflow;24.7
18;In Progress;45972,9125;5;Задача;Средний;Implement profile workflow;24.7
18;Code Review;45977,12083;5;Задача;Средний;Implement profile workflow;24.7
18;QA;45984,1625;5;Задача;Средний;Implement profile workflow;24.7
18;Done;45984,7875;5;Задача;Средний;Implement profile workflow;24.7
18;Done;45984,87083;5;Задача;Средний;Implement profile workflow;24.7
21;Selected for Development;45669,56806;5;Задача;Средний;Build admin page;9.33
21;Backlog;45670,56806;5;Задача;Средний;Build admin page;9.33
21;In Progress;45670,77639;5;Задача;Средний;Build admin page;9.33
21;Code Review;45671,94306;5;Задача;Средний;Build admin page;9.33
21;QA;45672,98472;5;Задача;Средний;Build admin page;9.33
21;Done;45675,44306;5;Задача;Средний;Build admin page;9.33
21;Done;45675,56806;5;Задача;Средний;Build admin page;9.33
22;Backlog;45797,375;2;Ошибка;Средний;Correct layout in rate limiting;0.0
22;Selected for Development;45804,5;2;Ошибка;Средний;Correct layout in rate limiting;0.0
22;In Progress;45808,66667;2;Ошибка;Средний;Correct layout in rate limiting;0.0
22;Code Review;45809,70833;2;Ошибка;Средний;Correct layout in rate limiting;0.0
